id,name,address,lat,long,cat,note
1,杉並第一小学校,東京都杉並区阿佐谷北1-5-27,35.705578,139.637253,school,区立
2,杉並第二小学校,東京都杉並区成田西3-4-1,35.692657,139.632004,school,区立
3,杉並第三小学校,東京都杉並区高円寺南1-15-13,35.699902,139.656189,school,区立
4,杉並第六小学校,東京都杉並区阿佐谷南1-24-21,35.701462,139.643661,school,区立
5,杉並第七小学校,東京都杉並区阿佐谷南3-19-2,35.702026,139.63118,school,区立
6,杉並第九小学校,東京都杉並区本天沼1-2-19,35.71291,139.633209,school,区立
7,杉並第十小学校,東京都杉並区和田3-55-49,35.697144,139.657852,school,区立
8,西田小学校,東京都杉並区荻窪1-38-15,35.694637,139.621353,school,区立
9,東田小学校,東京都杉並区成田東1-21-1,35.691303,139.638962,school,区立
10,馬橋小学校,東京都杉並区高円寺北4-28-5,35.708103,139.642853,school,区立
11,桃井第一小学校,東京都杉並区桃井2-6-1,35.711864,139.609329,school,区立
12,桃井第二小学校,東京都杉並区荻窪5-10-25,35.70113,139.618179,school,区立
13,桃井第三小学校,東京都杉並区西荻北2-10-7,35.704948,139.602112,school,区立
14,桃井第四小学校,東京都杉並区善福寺3-3-5,35.716465,139.594452,school,区立
15,桃井第五小学校,東京都杉並区下井草4-22-4,35.721508,139.619675,school,区立
16,四宮小学校,東京都杉並区上井草2-12-26,35.721352,139.610535,school,区立
17,荻窪小学校,東京都杉並区宮前2-13-18,35.695236,139.611282,school,区立
18,井荻小学校,東京都杉並区善福寺1-10-19,35.712101,139.596313,school,区立
19,沓掛小学校,東京都杉並区清水3-1-9,35.715992,139.620392,school,区立
20,高井戸小学校,東京都杉並区高井戸西2-2-1,35.684071,139.614853,school,区立
21,高井戸第二小学校,東京都杉並区久我山4-49-1,35.691517,139.599518,school,区立
22,高井戸第三小学校,東京都杉並区下高井戸4-16-24,35.671818,139.631348,school,区立
23,高井戸第四小学校,東京都杉並区西荻南1-8-16,35.698547,139.60199,school,区立
24,松庵小学校,東京都杉並区松庵2-23-24,35.700729,139.593002,school,区立
25,浜田山小学校,東京都杉並区浜田山4-23-1,35.685524,139.629303,school,区立
26,富士見丘小学校,東京都杉並区久我山2-19-1,35.682739,139.605118,school,区立
27,大宮小学校,東京都杉並区堀ノ内1-12-16,35.683456,139.648773,school,区立
28,堀之内小学校,東京都杉並区堀ノ内3-24-11,35.693169,139.646454,school,区立
29,和田小学校,東京都杉並区和田2-30-21,35.690556,139.657562,school,区立
30,方南小学校,東京都杉並区方南1-52-14,35.678997,139.657486,school,区立
31,済美小学校,東京都杉並区堀ノ内1-17-24,35.68594,139.649643,school,区立
32,八成小学校,東京都杉並区井草2-25-4,35.727657,139.619537,school,区立
33,三谷小学校,東京都杉並区上井草3-14-12,35.719826,139.601486,school,区立
34,松ノ木小学校,東京都杉並区松ノ木1-2-26,35.687653,139.642517,school,区立
35,高井戸東小学校,東京都杉並区高井戸東1-12-1,35.679504,139.619858,school,区立
36,久我山小学校,東京都杉並区久我山5-18-7,35.68589,139.606003,school,区立
37,天沼小学校,東京都杉並区天沼2-46-3,35.710369,139.623306,school,区立
38,永福小学校,東京都杉並区永福2-16-33,35.673569,139.639862,school,区立
39,新泉和泉小学校(杉並和泉学園),東京都杉並区和泉2-17-14,35.674934,139.648163,school,区立小中一貫
40,高円寺小学校(高円寺学園),東京都杉並区高円寺北1-4-11,35.706348,139.654785,school,区立小中一貫
41,高南中学校,東京都杉並区和田3-40-10,35.695606,139.657623,school,区立
42,杉森中学校,東京都杉並区阿佐谷北5-45-24,35.712135,139.641022,school,区立
43,阿佐ヶ谷中学校,東京都杉並区阿佐谷南1-17-3,35.700443,139.636032,school,区立
44,東田中学校,東京都杉並区成田東3-19-17,35.694511,139.634476,school,区立
45,松溪中学校,東京都杉並区荻窪2-3-1,35.695835,139.62291,school,区立
46,天沼中学校,東京都杉並区本天沼3-10-20,35.712505,139.620361,school,区立
47,東原中学校,東京都杉並区下井草1-28-5,35.717056,139.630951,school,区立
48,中瀬中学校,東京都杉並区下井草4-3-29,35.718735,139.620331,school,区立
49,井荻中学校,東京都杉並区今川2-13-24,35.717361,139.610886,school,区立
50,井草中学校,東京都杉並区上井草3-20-11,35.721413,139.602188,school,区立
51,荻窪中学校,東京都杉並区善福寺1-8-3,35.709686,139.596359,school,区立
52,神明中学校,東京都杉並区南荻窪2-37-28,35.700668,139.610336,school,区立
53,宮前中学校,東京都杉並区宮前2-12-1,35.692772,139.610748,school,区立
54,富士見丘中学校,東京都杉並区上高井戸2-16-13,35.679512,139.606506,school,区立
55,高井戸中学校,東京都杉並区高井戸東1-28-1,35.679974,139.622894,school,区立
56,向陽中学校,東京都杉並区下高井戸3-24-1,35.672333,139.63472,school,区立
57,松ノ木中学校,東京都杉並区松ノ木1-4-1,35.686924,139.641632,school,区立
58,大宮中学校,東京都杉並区堀ノ内1-16-38,35.68568,139.648804,school,区立
59,泉南中学校,東京都杉並区堀ノ内1-3-1,35.683929,139.656006,school,区立
60,和田中学校,東京都杉並区和田2-21-8,35.689598,139.658508,school,区立
61,西宮中学校,東京都杉並区宮前5-1-25,35.692722,139.601807,school,区立
62,和泉中学校(杉並和泉学園),東京都杉並区和泉2-17-14,35.674934,139.648163,school,区立小中一貫
63,高円寺中学校(高円寺学園),東京都杉並区高円寺北1-4-11,35.706348,139.654785,school,区立小中一貫
64,阿佐谷幼稚園,東京都杉並区阿佐谷北5-13-2,35.709446,139.641953,youchien,私立
65,井荻聖母幼稚園,東京都杉並区井草4-19-21,35.728634,139.612976,youchien,私立
66,井草幼稚園,東京都杉並区善福寺1-17-1,35.713161,139.598999,youchien,私立
67,和泉町幼稚園,東京都杉並区和泉2-25-7,35.672348,139.652145,youchien,私立
68,大宮幼稚園,東京都杉並区大宮2-3-1,35.682518,139.639923,youchien,私立
69,観泉寺幼稚園,東京都杉並区今川2-20-7,35.718136,139.606583,youchien,私立
70,玉成幼稚園,東京都杉並区松庵1-9-33,35.694145,139.592712,youchien,私立
71,久我山幼稚園,東京都杉並区久我山3-37-24,35.68895,139.596832,youchien,私立
72,くまの幼稚園,東京都杉並区和泉3-21-29,35.676231,139.648468,youchien,私立
73,光塩幼稚園,東京都杉並区高円寺南1-28-4,35.700272,139.661011,youchien,私立
74,國學院大學附属幼稚園,東京都杉並区久我山1-9-1,35.683418,139.593933,youchien,私立
75,杉並幼稚園,東京都杉並区阿佐谷南2-4-36,35.702576,139.64267,youchien,私立
76,杉並教会幼稚園,東京都杉並区和田3-48-8,35.696938,139.658875,youchien,私立
77,杉並東洋幼稚園,東京都杉並区成田東3-7-36,35.693016,139.638992,youchien,私立
78,杉並日の出幼稚園,東京都杉並区成田西2-12-29,35.690548,139.624054,youchien,私立
79,聖心学園幼稚園,東京都杉並区高円寺南2-32-30,35.699436,139.652863,youchien,私立
80,世尊院幼稚園,東京都杉並区阿佐谷北1-26-18,35.707417,139.636536,youchien,私立
81,高千穂幼稚園,東京都杉並区大宮2-19-1,35.682804,139.638245,youchien,私立
82,たから幼稚園,東京都杉並区西荻南1-12-12,35.697674,139.60434,youchien,私立
83,常盤ヶ丘幼稚園,東京都杉並区高井戸東3-5-23,35.682869,139.621933,youchien,私立
84,中瀬幼稚園,東京都杉並区下井草4-20-3,35.721516,139.617874,youchien,私立
85,西荻学園幼稚園,東京都杉並区西荻北2-11-3,35.705173,139.601196,youchien,私立
86,西荻まこと幼稚園,東京都杉並区松庵3-37-14,35.702385,139.598648,youchien,私立
87,日本大学幼稚園,東京都杉並区天沼1-31-14,35.707664,139.627853,youchien,私立
88,のぞみ幼稚園,東京都杉並区阿佐谷北6-25-17,35.714458,139.638016,youchien,私立
89,八幡幼稚園,東京都杉並区善福寺1-33-11,35.716282,139.594131,youchien,私立
90,ひこばえ幼稚園,東京都杉並区井草1-45-15,35.729622,139.623962,youchien,私立
91,富士幼稚園,東京都杉並区南荻窪4-5-7,35.698635,139.614243,youchien,私立
92,宝陽幼稚園,東京都杉並区上高井戸2-16-31,35.678795,139.607361,youchien,私立
93,明愛幼稚園,東京都杉並区和田1-61-18,35.694633,139.664795,youchien,私立
94,桃井幼稚園,東京都杉並区清水2-18-16,35.715073,139.614685,youchien,私立
